"Ingredients- Common Names","INCI Nomenclature"
"Fir Needle Oil","Abies Sibirica Oil"
"Baobab","Adansonia Digitata (Baobab) oil"
"Kukui Nut Oil","Aleurites Moluccana Seed Oil"
"Allantoin","Allantoin"
"Garlic Oil","Allium Sativum (Garlic) Oil"
"Aloe Leaf Powder","Aloe Barbadensis Leaf"
"Aloe Vera Gel Juice","Aloe Barbadensis Leaf Juice"
"Aloe Vera Extract","Aloe Barbadensis Leaf Juice / Aloe Barbadensis Leaf Juice, Potassium Sorbate, Sodium Benzoate, Citric Acid."
"Organic Aloe Vera Extract, Certified","Aloe Barbadensis Leaf Juice / Aloe Barbadensis Leaf Juice, Potassium Sorbate, Sodium Benzoate, Citric Acid."
"Marshmallow Root Powder","Althea Offinalis Root"
"Rosewood Oil","Aniba Rosaeodora (Rosewood) Wood Oil"
"Chamomile Oil, Roman","Anthemis Nobilis Flower Oil"
"Roman Chamomile Oil","Anthemis Nobilis Flower Oil"
"Roman Chamomile Distillate","Anthemis Nobilis Flower Water"
"Iselux ® Ultra Mild","Aqua (and) Sodium Lauroyl Methyl Isethionate (and) Cocamidopropyl Betaine (and) Sodium Methyl Oleoyl Taurate (and) Lauryl Glucoside (and) Coco-Glucoside"
"Peanut Oil","Arachis Hypogaea (Peanut) Oil"
"Argan Oil","Argania Spinosa (Argan) Nut Oil"
"Mugwort Oil","Artemisia Vulgaris (Mugwort) Oil"
"Kelp Powder","Ascophyllum nodosum"
"Ascorbic Acid","Ascorbic Acid"
"L-Ascorbic Acid","Ascorbic Acid"
"Vitamin C","Ascorbic Acid"
"Oatmeal","Avena Sativa (Oat) Kernel Meal"
"Oatstraw Powder","Avena Sativa (Oat) Leaf Powder"
"Neem Oil","Azadirachta Indica (Neem) Seed Oil"
"Beeswax","Beeswax"
"Beeswax Pastilles, White NF","Beeswax"
"Bentonite Clay Powder","Bentonite"
"Benzyl Benzoate","Benzyl Benzoate"
"Beet Powder","Beta Vulgaris (Beet) Root Powder"
"BHT","BHT"
"Borage","Borago Officinalis (Borage) plant"
"Sodium Borate","Borax"
"Broccolli Seed Oil","Brassica oleraceae var.Italica (Broccoli) Seed Oil."
"Buttermilk","Buttermilk"
"Buttermilk Powder","Buttermilk Powder"
"Natural Shea Butter","Butyrospermum Parkii (Shea Butter) Fruit"
"100% Pure Shea Butter","Butyrospermum Parkii (Shea Butter) Fruit"
"Raw Shea Butter","Butyrospermum Parkii (Shea Butter) Fruit"
"Shea Butter, Natural","Butyrospermum Parkii (Shea Butter) Fruit"
"Shea Butter, Raw","Butyrospermum Parkii (Shea Butter) Fruit"
"Shea Butter, Organic","Butyrospermum Parkii (Shea Butter) Fruit"
"Calamine Powder","Calamine"
"Calcium Carbonate","Calcium Carbonate"
"Calendula Extract","Calendula Officinalis (or) Calendula Officinalis Flower Extract"
"Calendula Flower Powder","Calendula Officinalis Flower"
"Calendula Oil","Calendula Officinalis Flower Oil"
"Green Tea Extract","Camellia Sinensis Leaf Extract"
"Camellia Oil","Camellia Sinensis Leaf Oil"
"Camphor","Camphor"
"Glacial Clay Powder","Canadian Colloidal Clay"
"Ylang Ylang Oil Extra","Cananga Odorata Flower Oil"
"Ylang Ylang Oil III","Cananga Odorata Flower Oil"
"Elemi Oil","Canarium Commune Gum Oil"
"Hemp Seed Oil","Cannabis Sativa Seed Oil"
"Canola Oil","Canola Oil"
"Caprylic/Capric Tryglycerides","Caprylic/Capric Triglyceride"
"Coconut Oil, Fractionated","Caprylic/Capric Triglyceride"
"Fractionated Coconut Oil","Caprylic/Capric Triglyceride"
"Andiroba Oil","Carapas Guinanesis"
"Carbomer","Carbomer"
"Carbopol","Carbomer"
"Safflower Oil","Carthamus Tinctorius (Safflower) Seed Oil"
"Parsley Seed Oil","Carum Petroselinum (Parsley) Seed Oil"
"Atlas Cedarwood Oil","Cedrus Atlantica (Cedarwood) Bark Oil"
"Cremophor A 25","Ceteareth-25"
"Cetyl Alcohol","Cetyl Alcohol"
"Chamomile Extract","Chamomilla Recutita (Matricaria)"
"Chitosan","Chitosan"
"White Camphor Oil","Cinnamomum Camphora (Camphor) Bark Oil"
"Cinnamon Leaf Oil","Cinnamomum Zeylanicum Leaf Oil"
"Citric Acid","Citric Acid"
"Lime Oil","Citrus Aurantifolia (Lime) Oil"
"Orange Peel Powder","Citrus Aurantium Amara (Bitter Orange)"
"Orange Flower Distillate","Citrus Aurantium Amara (Bitter Orange) Flower Distillate, Methylparaben, Proplyparaben."
"Bitter Orange Oil","Citrus Aurantium Amara (Bitter Orange) Oil"
"Neroli Oil","Citrus Aurantium Amara (Bitter Orange) Oil"
